Slice,Count,Total Area,Average Size,%Area,Mean
2021-06-14_controll_Vir-1_2.JPG,22,29.197,1.327,15.967,255
2021-06-14_controll_Vir-1_3.JPG,52,31.157,0.599,17.038,255
2021-06-14_heat_4b-1_1.JPG,27,33.039,1.224,18.068,255
2021-06-14_heat_4b-1_2.JPG,700,38.552,0.055,21.083,255
2021-06-14_heat_4b-1_3.JPG,84,31.613,0.376,17.288,255
2021-06-14_heat_4b-2_1.JPG,504,37.830,0.075,20.687,255
2021-06-14_heat_4b-2_2.JPG,130,37.845,0.291,20.696,255
2021-06-14_heat_4b-2_3.JPG,175,35.414,0.202,19.366,255
2021-06-14_heat_4b-4_1.JPG,144,34.472,0.239,18.851,255
2021-06-14_heat_4b-4_2.JPG,287,34.503,0.120,18.868,255
2021-06-14_heat_4b-4_3.JPG,496,38.156,0.077,20.866,255
2021-06-14_heat_Col-0_1.JPG,568,36.520,0.064,19.971,255
2021-06-14_heat_Col-0_2.JPG,188,30.680,0.163,16.778,255
2021-06-14_heat_Col-0_3.JPG,886,38.694,0.044,21.160,255
2021-06-14_heat_fip-37_1.JPG,71,34.288,0.483,18.751,255
2021-06-14_heat_fip-37_2.JPG,859,38.615,0.045,21.117,255
2021-06-14_heat_fip-37_3.JPG,564,39.741,0.070,21.732,255
2021-06-14_heat_Vir-1_1.JPG,449,35.282,0.079,19.294,255
2021-06-14_heat_Vir-1_2.JPG,542,36.044,0.067,19.711,255
2021-06-14_heat_Vir-1_3.JPG,467,37.832,0.081,20.689,255
2021-06-11_150-Manitol_4b-1_1.JPG,66,40.750,0.617,22.284,255
2021-06-11_150-Manitol_4b-1_2.JPG,98,41.064,0.419,22.456,255
2021-06-11_150-Manitol_4b-1_3.JPG,66,43.327,0.656,23.694,255
2021-06-11_150-Manitol_4b-2_1.JPG,54,43.815,0.811,23.960,255
2021-06-11_150-Manitol_4b-2_2.JPG,51,42.681,0.837,23.340,255
2021-06-11_150-Manitol_4b-2_3.JPG,48,41.931,0.874,22.930,255
2021-06-11_150-Manitol_4b-4_1.JPG,44,43.215,0.982,23.633,255
2021-06-11_150-Manitol_4b-4_2.JPG,82,43.594,0.532,23.840,255
2021-06-11_150-Manitol_4b-4_3.JPG,62,43.604,0.703,23.845,255
2021-06-11_150-Manitol_Col-0_1.JPG,78,55.398,0.710,30.295,255
2021-06-11_150-Manitol_Col-0_2.JPG,159,54.965,0.346,30.058,255
2021-06-11_150-Manitol_Col-0_3.JPG,62,53.631,0.865,29.328,255
2021-06-11_150-Manitol_fip-37_1.JPG,151,41.659,0.276,22.781,255
2021-06-11_150-Manitol_fip-37_2.JPG,708,41.805,0.059,22.861,255
2021-06-11_150-Manitol_fip-37_3.JPG,136,41.887,0.308,22.906,255
2021-06-11_150-Manitol_Vir-1_1.JPG,164,39.173,0.239,21.422,255
2021-06-11_150-Manitol_Vir-1_2.JPG,58,40.382,0.696,22.083,255
2021-06-11_150-Manitol_Vir-1_3.JPG,141,38.478,0.273,21.042,255
2021-06-11_150-NaCl_4b-1_1.JPG,122,44.403,0.364,24.282,255
2021-06-11_150-NaCl_4b-1_2.JPG,144,44.924,0.312,24.567,255
2021-06-11_150-NaCl_4b-1_3.JPG,170,42.888,0.252,23.453,255
2021-06-11_150-NaCl_4b-2_1.JPG,140,45.948,0.328,25.127,255
2021-06-11_150-NaCl_4b-2_2.JPG,115,44.431,0.386,24.297,255
2021-06-11_150-NaCl_4b-2_3.JPG,112,42.725,0.381,23.364,255
2021-06-11_150-NaCl_4b-4_1.JPG,73,44.361,0.608,24.259,255
2021-06-11_150-NaCl_4b-4_2.JPG,92,43.322,0.471,23.691,255
2021-06-11_150-NaCl_4b-4_3.JPG,150,42.809,0.285,23.410,255
2021-06-11_150-NaCl_Col-0_1.JPG,69,47.433,0.687,25.939,255
2021-06-11_150-NaCl_Col-0_2.JPG,167,49.793,0.298,27.230,255
2021-06-11_150-NaCl_Col-0_3.JPG,189,51.202,0.271,28.000,255
2021-06-11_150-NaCl_fip-37_1.JPG,100,48.077,0.481,26.291,255
2021-06-11_150-NaCl_fip-37_2.JPG,32,39.157,1.224,21.413,255
2021-06-11_150-NaCl_fip-37_3.JPG,182,38.991,0.214,21.322,255
