Slice,Count,Total Area,Average Size,%Area,Mean
2021-06-07_300-Manitol_4b-2_3,9,1.228,0.136,1.071,255
2021-06-07_300-Manitol_4b-4_1,9,1.173,0.130,1.024,255
2021-06-07_300-Manitol_4b-4_2,10,1.197,0.120,1.045,255
2021-06-07_300-Manitol_4b-4_3,9,1.072,0.119,0.936,255
2021-06-07_300-Manitol_Col-0_1,9,1.909,0.212,1.666,255
2021-06-07_300-Manitol_Col-0_2,10,1.451,0.145,1.267,255
2021-06-07_300-Manitol_Col-0_3,9,1.637,0.182,1.429,255
2021-06-07_300-Manitol_fip-37_1,9,0.897,0.100,0.783,255
2021-06-07_300-Manitol_fip-37_2,9,0.927,0.103,0.809,255
2021-06-07_300-Manitol_fip-37_3,9,1.075,0.119,0.938,255
2021-06-07_150-Manitol_4b-1_1,9,1.610,0.179,1.405,255
2021-06-07_150-Manitol_4b-1_2,9,1.681,0.187,1.467,255
2021-06-07_150-Manitol_4b-1_3,9,1.625,0.181,1.418,255
2021-06-07_150-Manitol_4b-2_1,9,1.772,0.197,1.547,255
2021-06-07_150-Manitol_4b-2_2,10,1.389,0.139,1.212,255
2021-06-07_150-Manitol_4b-2_3,9,1.660,0.184,1.449,255
2021-06-07_150-Manitol_4b-4_1,9,1.526,0.170,1.332,255
2021-06-07_150-Manitol_4b-4_2,9,1.828,0.203,1.596,255
2021-06-07_150-Manitol_4b-4_3,11,1.544,0.140,1.347,255
2021-06-07_150-Manitol_Col-0_1,11,1.991,0.181,1.737,255
2021-06-07_150-Manitol_Col-0_2,14,2.137,0.153,1.865,255
2021-06-07_150-Manitol_Col-0_3,12,2.138,0.178,1.866,255
2021-06-07_150-Manitol_fip-37_1,9,0.980,0.109,0.856,255
2021-06-07_150-Manitol_fip-37_2,10,1.095,0.110,0.956,255
2021-06-07_150-Manitol_fip-37_3,9,1.127,0.125,0.983,255
2021-06-07_150-Manitol_Vir-1_1,10,0.842,0.084,0.735,255
2021-06-07_150-Manitol_Vir-1_2,11,0.821,0.075,0.717,255
2021-06-07_150-Manitol_Vir-1_3,9,0.590,0.066,0.515,255
2021-06-07_150-NaCl_4b-1_1,9,1.656,0.184,1.445,255
2021-06-07_150-NaCl_4b-1_2,9,1.929,0.214,1.683,255
2021-06-07_150-NaCl_4b-1_3,11,1.601,0.146,1.397,255
2021-06-07_150-NaCl_4b-2_1,9,1.970,0.219,1.719,255
2021-06-07_150-NaCl_4b-2_2,9,1.793,0.199,1.565,255
2021-06-07_150-NaCl_4b-2_3,9,1.847,0.205,1.612,255
2021-06-07_150-NaCl_4b-4_1,9,1.626,0.181,1.419,255
2021-06-07_150-NaCl_4b-4_2,10,1.822,0.182,1.591,255
2021-06-07_150-NaCl_4b-4_3,9,2.018,0.224,1.761,255
2021-06-07_150-NaCl_Col-0_1,9,2.439,0.271,2.129,255
2021-06-07_150-NaCl_Col-0_2,10,3.051,0.305,2.663,255
2021-06-07_150-NaCl_Col-0_3,9,2.915,0.324,2.544,255
2021-06-07_150-NaCl_fip-37_1,8,0.822,0.103,0.717,255
2021-06-07_150-NaCl_fip-37_2,9,1.248,0.139,1.089,255
2021-06-07_150-NaCl_fip-37_3,9,1.121,0.125,0.979,255
2021-06-07_150-NaCl_Vir-1_1,9,0.772,0.086,0.674,255
2021-06-07_150-NaCl_Vir-1_2,9,0.790,0.088,0.689,255
2021-06-07_150-NaCl_Vir-1_3,9,0.829,0.092,0.723,255
2021-06-07_200-Manitol_4b-1_1,10,1.389,0.139,1.212,255
2021-06-07_200-Manitol_4b-1_2,9,1.426,0.158,1.245,255
2021-06-07_200-Manitol_4b-1_3,10,1.336,0.134,1.166,255
2021-06-07_200-Manitol_4b-2_1,10,1.268,0.127,1.106,255
2021-06-07_200-Manitol_4b-2_2,11,1.416,0.129,1.236,255
2021-06-07_200-Manitol_4b-2_3,10,1.525,0.152,1.331,255
2021-06-07_200-Manitol_4b-4_1,10,1.310,0.131,1.143,255
2021-06-07_200-Manitol_4b-4_2,10,1.294,0.129,1.130,255
2021-06-07_200-Manitol_4b-4_3,11,2.631,0.239,2.296,255
2021-06-07_200-Manitol_Col-0_1,9,1.954,0.217,1.706,255
2021-06-07_200-Manitol_Col-0_2,12,1.690,0.141,1.475,255
2021-06-07_200-Manitol_Col-0_3,9,1.906,0.212,1.664,255
2021-06-07_200-Manitol_fip-37_1,9,0.942,0.105,0.822,255
2021-06-07_200-Manitol_fip-37_2,9,1.029,0.114,0.899,255
2021-06-07_200-Manitol_fip-37_3,8,0.765,0.096,0.667,255
2021-06-07_200-Manitol_Vir-1_1,11,0.645,0.059,0.563,255
2021-06-07_200-Manitol_Vir-1_2,10,0.517,0.052,0.451,255
2021-06-07_200-Manitol_Vir-1_3,9,0.643,0.071,0.562,255
2021-06-07_300-Manitol_4b-1_1,10,0.927,0.093,0.809,255
2021-06-07_300-Manitol_4b-1_2,10,1.220,0.122,1.065,255
2021-06-07_300-Manitol_4b-1_3,9,1.446,0.161,1.262,255
2021-06-07_300-Manitol_4b-2_1,9,1.419,0.158,1.238,255
2021-06-07_300-Manitol_4b-2_2,10,1.189,0.119,1.038,255
