Slice,Count,Total Area,Average Size,%Area,Mean
2021-06-18_controll_4b-2_2,10,54.891,5.489,31.015,255
2021-06-18_controll_4b-2_3,13,56.682,4.360,32.027,255
2021-06-18_controll_4b-4_1,9,45.831,5.092,25.896,255
2021-06-18_controll_4b-4_2,10,55.727,5.573,31.488,255
2021-06-18_controll_4b-4_3,10,50.876,5.088,28.747,255
2021-06-18_controll_Col-0_1,10,53.891,5.389,30.450,255
2021-06-18_controll_Col-0_2,10,60.370,6.037,34.111,255
2021-06-18_controll_Col-0_3,22,49.930,2.270,28.212,255
2021-06-18_controll_fip-37_1,10,41.074,4.107,23.208,255
2021-06-18_controll_fip-37_2,10,43.943,4.394,24.829,255
2021-06-18_controll_fip-37_3,11,55.963,5.088,31.621,255
2021-06-18_controll_Vir-1_1,10,38.612,3.861,21.817,255
2021-06-18_controll_Vir-1_2,7,45.629,6.518,25.782,255
2021-06-18_controll_Vir-1_3,10,35.751,3.575,20.200,255
2021-06-18_heat_4b-1_1,10,42.528,4.253,24.030,255
2021-06-18_heat_4b-1_2,6,54.226,9.038,30.640,255
2021-06-18_heat_4b-1_3,9,42.293,4.699,23.897,255
2021-06-18_heat_4b-2_1,10,44.808,4.481,25.318,255
2021-06-18_heat_4b-2_2,9,59.191,6.577,33.445,255
2021-06-18_heat_4b-2_3,10,38.463,3.846,21.733,255
2021-06-18_heat_4b-4_1,10,40.490,4.049,22.878,255
2021-06-18_heat_4b-4_2,10,31.225,3.123,17.643,255
2021-06-18_heat_4b-4_3,10,46.261,4.626,26.139,255
2021-06-18_heat_Col-0_1,10,47.053,4.705,26.586,255
2021-06-18_heat_Col-0_2,11,37.763,3.433,21.337,255
2021-06-18_heat_Col-0_3,9,41.916,4.657,23.684,255
2021-06-18_heat_fip-37_1,9,49.639,5.515,28.048,255
2021-06-18_heat_fip-37_2,10,44.072,4.407,24.902,255
2021-06-18_heat_fip-37_3,10,43.918,4.392,24.815,255
2021-06-18_heat_Vir-1_1,7,38.340,5.477,21.663,255
2021-06-18_heat_Vir-1_2,6,45.987,7.664,25.984,255
2021-06-18_heat_Vir-1_3,7,38.096,5.442,21.526,255
2021-06-16_150-Manitol_4b-1_1,12,36.598,3.050,20.679,255
2021-06-16_150-Manitol_4b-1_2,10,34.172,3.417,19.308,255
2021-06-16_150-Manitol_4b-1_3,10,50.351,5.035,28.450,255
2021-06-16_150-Manitol_4b-2_1,10,46.917,4.692,26.510,255
2021-06-16_150-Manitol_4b-2_2,11,46.911,4.265,26.506,255
2021-06-16_150-Manitol_4b-2_3,10,51.836,5.184,29.289,255
2021-06-16_150-Manitol_4b-4_1,10,44.102,4.410,24.919,255
2021-06-16_150-Manitol_4b-4_2,10,47.536,4.754,26.859,255
2021-06-16_150-Manitol_4b-4_3,10,44.988,4.499,25.420,255
2021-06-16_150-Manitol_Col-0_1,10,57.876,5.788,32.702,255
2021-06-16_150-Manitol_Col-0_2,10,50.077,5.008,28.295,255
2021-06-16_150-Manitol_Col-0_3,10,49.355,4.936,27.887,255
2021-06-16_150-Manitol_fip-37_1,14,23.485,1.677,13.270,255
2021-06-16_150-Manitol_fip-37_2,11,28.501,2.591,16.104,255
2021-06-16_150-Manitol_fip-37_3,16,24.379,1.524,13.775,255
2021-06-16_150-Manitol_Vir-1_1,9,24.692,2.744,13.952,255
2021-06-16_150-Manitol_Vir-1_2,11,25.676,2.334,14.508,255
2021-06-16_150-Manitol_Vir-1_3,6,27.402,4.567,15.483,255
2021-06-16_150-NaCl_4b-1_1,11,50.701,4.609,28.648,255
2021-06-16_150-NaCl_4b-1_2,10,57.413,5.741,32.440,255
2021-06-16_150-NaCl_4b-1_3,10,52.466,5.247,29.645,255
2021-06-16_150-NaCl_4b-2_1,10,49.769,4.977,28.121,255
2021-06-16_150-NaCl_4b-2_2,10,54.590,5.459,30.845,255
2021-06-16_150-NaCl_4b-2_3,10,46.555,4.656,26.305,255
2021-06-16_150-NaCl_4b-4_1,14,45.157,3.225,25.515,255
2021-06-16_150-NaCl_4b-4_2,10,53.307,5.331,30.120,255
2021-06-16_150-NaCl_4b-4_3,12,50.165,4.180,28.345,255
2021-06-16_150-NaCl_Col-0_1,13,49.702,3.823,28.084,255
2021-06-16_150-NaCl_Col-0_2,15,56.121,3.741,31.710,255
2021-06-16_150-NaCl_Col-0_3,15,66.759,4.451,37.721,255
2021-06-16_150-NaCl_fip-37_1,9,35.765,3.974,20.209,255
2021-06-16_150-NaCl_fip-37_2,10,39.873,3.987,22.530,255
2021-06-16_150-NaCl_fip-37_3,10,43.399,4.340,24.522,255
2021-06-16_150-NaCl_Vir-1_1,10,38.953,3.895,22.010,255
2021-06-16_150-NaCl_Vir-1_2,10,34.465,3.447,19.474,255
2021-06-16_150-NaCl_Vir-1_3,8,33.172,4.146,18.743,255
2021-06-16_200-Manitol_4b-1_1,11,36.625,3.330,20.694,255
2021-06-16_200-Manitol_4b-1_2,10,45.937,4.594,25.956,255
2021-06-16_200-Manitol_4b-1_3,10,49.118,4.912,27.753,255
2021-06-16_200-Manitol_4b-2_1,10,44.489,4.449,25.138,255
2021-06-16_200-Manitol_4b-2_2,10,45.926,4.593,25.950,255
2021-06-16_200-Manitol_4b-2_3,10,44.057,4.406,24.894,255
2021-06-16_200-Manitol_4b-4_1,10,48.262,4.826,27.270,255
2021-06-16_200-Manitol_4b-4_2,10,50.076,5.008,28.295,255
2021-06-16_200-Manitol_4b-4_3,10,46.253,4.625,26.135,255
2021-06-16_200-Manitol_Col-0_1,9,47.431,5.270,26.800,255
2021-06-16_200-Manitol_Col-0_2,10,44.686,4.469,25.249,255
2021-06-16_200-Manitol_Col-0_3,10,47.268,4.727,26.708,255
2021-06-16_200-Manitol_fip-37_1,10,35.900,3.590,20.284,255
2021-06-16_200-Manitol_fip-37_2,10,34.404,3.440,19.439,255
2021-06-16_200-Manitol_fip-37_3,10,35.481,3.548,20.048,255
2021-06-16_200-Manitol_Vir-1_1,10,35.530,3.553,20.075,255
2021-06-16_200-Manitol_Vir-1_2,9,32.610,3.623,18.426,255
2021-06-16_200-Manitol_Vir-1_3,10,28.941,2.894,16.353,255
2021-06-16_300-Manitol_4b-1_1,11,34.992,3.181,19.772,255
2021-06-16_300-Manitol_4b-1_2,12,35.572,2.964,20.099,255
2021-06-16_300-Manitol_4b-1_3,10,34.876,3.488,19.706,255
2021-06-16_300-Manitol_4b-2_1,10,35.953,3.595,20.315,255
2021-06-16_300-Manitol_4b-2_2,10,33.721,3.372,19.054,255
